Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
Italy,2018,0.67,,5.57,361.86,0.59,0.31,,47.92,,8.9,1680.73,64.11
Italy,2019,0.77,,5.8,466.35,0.53,0.21,,41.5,,9.03,1515.55,63.02
Italy,2020,0.69,,6.32,593.02,0.48,0.2,,34.34,,8.25,1026.52,56.8
Italy,2021,0.58,,6.49,743.49,0.51,0.2,,38.05,,9.73,1183.66,50.43
Italy,2022,0.6,,6.22,694.9,0.55,0.19,,44.35,,11.54,1429.92,49.39
Italy,2023,0.41,,4.68,,0.57,0.22,,48.66,,11.43,1505.73,51.47
Kosovo*,2016,2.71,336.08,14.68,30.37,1.64,1.24,1.58,16.26,3.16,5.59,710.82,33.08
Kosovo*,2017,2.47,289.99,,30.0,1.85,0.9,1.63,17.16,2.8,24.73,312.25,74.46
Kosovo*,2018,2.17,289.24,,34.92,2.39,0.89,1.78,17.9,2.56,20.18,309.65,85.68
Kosovo*,2019,1.11,231.5,,36.64,1.28,1.17,2.78,11.42,3.4,8.52,269.26,82.59
Kosovo*,2020,2.24,215.42,,26.26,1.57,0.84,3.37,9.37,3.14,,237.02,68.07
Latvia,2014,,30.58,,,3.85,0.85,3.75,40.42,18.44,27.63,1028.15,134.75
Latvia,2015,,25.23,,,4.08,0.86,3.02,39.22,12.24,23.46,976.14,177.69
Latvia,2016,11.78,323.27,14.58,90.71,5.64,0.41,7.21,33.06,4.22,11.17,739.99,135.25
Latvia,2017,6.41,268.24,9.49,77.07,5.59,0.21,8.26,30.97,5.74,13.44,745.29,153.27
Latvia,2018,7.6,252.12,12.51,90.88,5.22,0.52,9.1,27.61,6.88,15.25,726.18,134.77
Latvia,2019,5.36,219.27,18.44,82.29,4.74,0.68,8.91,25.68,7.08,15.78,682.88,122.66
Latvia,2020,6.34,199.35,9.54,90.74,4.88,0.63,10.59,22.8,6.03,16.2,670.92,103.53
Latvia,2021,7.76,146.79,10.83,157.03,5.18,0.32,9.09,13.89,9.14,17.69,417.28,77.28
Latvia,2022,8.0,147.25,10.4,123.79,4.05,0.53,12.9,14.93,9.01,21.27,512.91,67.49
Latvia,2023,4.94,126.18,8.34,,4.2,0.85,15.03,17.05,14.87,29.26,568.88,71.69
Liechtenstein,2014,,597.92,,,2.69,0.0,13.47,2.69,37.71,21.55,576.37,1018.07
Liechtenstein,2015,,449.61,,,0.0,0.0,5.35,8.03,42.82,24.09,516.51,738.64
Liechtenstein,2016,0.0,374.78,10.63,465.15,0.0,0.0,5.32,10.63,18.61,23.92,520.97,1185.48
Liechtenstein,2017,,335.89,15.87,343.82,2.64,,13.22,5.29,,21.16,394.08,1295.95
